annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2021	500 salariés et plus	 Marrakech-Safi	9	7	5	1	2	9	0	10	1
2021	500 salariés et plus	 Rabat-Salé-Kénitra	17	17	16	1	1	19	1	57	2
2021	500 salariés et plus	 Souss-Massa	48	6	9	0	1	9	0	13	0
2021	500 salariés et plus	Béni Mellal-Khénifra	2	2	0	0	0	0	0	0	0
2021	500 salariés et plus	Drâa-Tafilalet	0	6	0	0	0	0	0	1	0
2021	500 salariés et plus	Eddakhla-Oued Eddahab	5	0	2	0	0	0	0	1	0
2021	500 salariés et plus	Fès-Meknès	9	9	3	1	2	16	0	15	0
2021	500 salariés et plus	Grand Casablanca-Settat	9	41	36	3	8	67	3	140	10
2021	500 salariés et plus	Guelmim-Oued Noun	3	0	0	0	0	3	0	0	0
2021	500 salariés et plus	Laayoune-Sakia El Hamra	1	1	1	0	0	3	0	2	0
2021	500 salariés et plus	Oriental	1	4	2	0	0	4	0	1	0
2021	500 salariés et plus	Tanger-Tetouan-Al Hoceima	12	5	17	0	1	72	0	5	5
2022	1-9 salariés	 Marrakech-Safi	1982	2681	3555	345	2041	715	666	3888	654
2022	1-9 salariés	 Rabat-Salé-Kénitra	1365	3855	5557	549	2300	1077	1013	5399	1072
2022	1-9 salariés	 Souss-Massa	2212	1768	3193	391	948	843	567	2910	1256
2022	1-9 salariés	Béni Mellal-Khénifra	398	1363	1552	242	656	373	250	1014	161
2022	1-9 salariés	Drâa-Tafilalet	439	1445	986	106	460	186	128	762	492
2022	1-9 salariés	Eddakhla-Oued Eddahab	3142	150	231	17	47	53	10	175	54
2022	1-9 salariés	Fès-Meknès	412	2936	3678	370	1751	927	606	2374	578
2022	1-9 salariés	Grand Casablanca-Settat	1682	7670	15939	881	4554	4223	2124	12268	3033
2022	1-9 salariés	Guelmim-Oued Noun	719	260	237	27	72	59	34	199	68
2022	1-9 salariés	Laayoune-Sakia El Hamra	2783	519	451	46	111	102	32	296	180
2022	1-9 salariés	Oriental	1306	1468	2229	245	945	499	390	1656	658
2022	1-9 salariés	Tanger-Tetouan-Al Hoceima	2295	2158	3864	392	1438	1100	557	2934	1792
2022	10-49 salariés	 Marrakech-Safi	89	602	521	225	471	192	96	888	140
2022	10-49 salariés	 Rabat-Salé-Kénitra	197	782	704	420	409	393	179	1288	119
2022	10-49 salariés	 Souss-Massa	379	396	488	180	213	217	78	524	201
2022	10-49 salariés	Béni Mellal-Khénifra	45	243	113	108	34	65	42	256	18
2022	10-49 salariés	Drâa-Tafilalet	36	344	99	48	62	46	18	222	32
2022	10-49 salariés	Eddakhla-Oued Eddahab	24	33	52	11	14	44	1	53	12
2022	10-49 salariés	Fès-Meknès	126	633	479	329	250	322	144	495	69
