annuel	taille	region	Agriculture, forêt et pêche	BTP	Commerce	Enseignement	Hébérgement et restauration	Industries	Santé humaine et action sociale	Services	Transport
2022	50-199 salariés	Drâa-Tafilalet	0	0	0	0	1	0	0	2	0
2022	50-199 salariés	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2022	50-199 salariés	Fès-Meknès	0	0	0	1	0	3	0	2	0
2022	50-199 salariés	Grand Casablanca-Settat	0	4	14	5	0	9	0	10	5
2022	50-199 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2022	50-199 salariés	Laayoune-Sakia El Hamra	0	0	1	0	0	0	0	0	1
2022	50-199 salariés	Oriental	0	1	0	0	0	0	0	0	1
2022	50-199 salariés	Tanger-Tetouan-Al Hoceima	0	0	1	0	1	10	0	4	0
2022	200-499 salariés	 Marrakech-Safi	0	0	0	0	0	0	0	0	0
2022	200-499 salariés	 Rabat-Salé-Kénitra	1	0	1	0	0	1	0	2	0
2022	200-499 salariés	 Souss-Massa	1	0	0	0	1	0	0	0	0
2022	200-499 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2022	200-499 salariés	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
2022	200-499 salariés	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2022	200-499 salariés	Fès-Meknès	0	0	0	0	0	0	0	1	0
2022	200-499 salariés	Grand Casablanca-Settat	1	1	0	0	0	2	0	2	1
2022	200-499 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2022	200-499 salariés	Laayoune-Sakia El Hamra	0	0	0	0	0	0	0	0	0
2022	200-499 salariés	Oriental	0	0	0	0	0	0	0	0	0
2022	200-499 salariés	Tanger-Tetouan-Al Hoceima	0	0	0	0	0	2	0	0	0
2022	500 salariés et plus	 Marrakech-Safi	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	 Rabat-Salé-Kénitra	0	0	0	0	0	0	0	1	0
2022	500 salariés et plus	 Souss-Massa	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Fès-Meknès	0	0	0	0	0	1	0	0	0
2022	500 salariés et plus	Grand Casablanca-Settat	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Laayoune-Sakia El Hamra	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Oriental	0	0	0	0	0	0	0	0	0
2022	500 salariés et plus	Tanger-Tetouan-Al Hoceima	0	0	0	0	0	0	0	0	0
2023	1-9 salariés	 Marrakech-Safi	222	247	189	17	118	63	11	296	41
2023	1-9 salariés	 Rabat-Salé-Kénitra	103	362	287	36	170	81	20	394	83
2023	1-9 salariés	 Souss-Massa	199	159	140	19	60	66	15	387	81
2023	1-9 salariés	Béni Mellal-Khénifra	24	137	59	14	40	28	11	142	8
2023	1-9 salariés	Drâa-Tafilalet	22	126	45	7	21	17	3	151	14
2023	1-9 salariés	Eddakhla-Oued Eddahab	250	20	23	2	8	9	2	46	3
2023	1-9 salariés	Fès-Meknès	19	263	170	32	128	68	16	198	32
2023	1-9 salariés	Grand Casablanca-Settat	190	793	980	49	345	358	43	939	242
2023	1-9 salariés	Guelmim-Oued Noun	63	30	20	1	6	9	1	41	3
2023	1-9 salariés	Laayoune-Sakia El Hamra	167	74	25	5	48	14	8	51	18
2023	1-9 salariés	Oriental	71	103	80	12	63	48	21	115	45
2023	1-9 salariés	Tanger-Tetouan-Al Hoceima	180	168	185	15	80	75	8	189	147
2023	10-49 salariés	 Marrakech-Safi	8	16	13	3	9	7	1	115	2
2023	10-49 salariés	 Rabat-Salé-Kénitra	4	27	21	11	15	16	1	110	1
2023	10-49 salariés	 Souss-Massa	19	13	6	1	10	8	2	64	5
2023	10-49 salariés	Béni Mellal-Khénifra	3	1	4	5	0	5	0	89	1
2023	10-49 salariés	Drâa-Tafilalet	7	10	1	1	3	7	1	83	1
2023	10-49 salariés	Eddakhla-Oued Eddahab	1	1	1	0	1	2	0	8	1
2023	10-49 salariés	Fès-Meknès	8	12	12	15	6	15	8	79	2
2023	10-49 salariés	Grand Casablanca-Settat	6	53	75	24	27	64	6	149	26
2023	10-49 salariés	Guelmim-Oued Noun	9	3	0	7	1	6	1	75	0
2023	10-49 salariés	Laayoune-Sakia El Hamra	7	11	8	7	0	6	3	28	1
2023	10-49 salariés	Oriental	18	18	6	7	1	10	11	80	1
2023	10-49 salariés	Tanger-Tetouan-Al Hoceima	6	15	12	10	5	18	1	108	8
2023	50-199 salariés	 Marrakech-Safi	0	1	3	0	3	0	0	8	0
2023	50-199 salariés	 Rabat-Salé-Kénitra	1	1	2	4	1	0	0	5	1
2023	50-199 salariés	 Souss-Massa	2	1	0	0	0	2	0	3	0
2023	50-199 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	4	1
2023	50-199 salariés	Drâa-Tafilalet	0	1	0	0	0	0	0	6	0
2023	50-199 salariés	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2023	50-199 salariés	Fès-Meknès	0	2	1	1	1	1	0	12	0
2023	50-199 salariés	Grand Casablanca-Settat	2	6	10	1	2	7	0	35	0
2023	50-199 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	7	0
2023	50-199 salariés	Laayoune-Sakia El Hamra	0	0	0	0	0	0	0	0	0
2023	50-199 salariés	Oriental	6	2	0	1	0	0	2	13	1
2023	50-199 salariés	Tanger-Tetouan-Al Hoceima	1	0	1	0	0	9	0	15	2
2023	200-499 salariés	 Marrakech-Safi	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	 Rabat-Salé-Kénitra	0	0	0	0	0	1	0	0	0
2023	200-499 salariés	 Souss-Massa	1	0	0	0	0	0	0	0	0
2023	200-499 salariés	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	Fès-Meknès	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	Grand Casablanca-Settat	1	0	0	0	0	2	0	6	0
2023	200-499 salariés	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	Laayoune-Sakia El Hamra	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	Oriental	0	0	0	0	0	0	0	0	0
2023	200-499 salariés	Tanger-Tetouan-Al Hoceima	0	0	0	0	0	1	0	1	0
2023	500 salariés et plus	 Marrakech-Safi	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	 Rabat-Salé-Kénitra	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	 Souss-Massa	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Béni Mellal-Khénifra	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Drâa-Tafilalet	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Eddakhla-Oued Eddahab	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Fès-Meknès	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Grand Casablanca-Settat	0	0	1	0	0	0	0	0	1
2023	500 salariés et plus	Guelmim-Oued Noun	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Laayoune-Sakia El Hamra	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Oriental	0	0	0	0	0	0	0	0	0
2023	500 salariés et plus	Tanger-Tetouan-Al Hoceima	0	0	0	0	0	0	0	0	0
